,title,critic_score,audience_score
807,A Peloton of One,100,
808,A People Uncounted,100,75
809,A Picture of You,100,75
810,A Quiet Place in the Country,100,54
811,A River Below,100,83
812,A Room With a View,100,85
813,A Secret Love,100,90
814,A Small Measure of Justice,100,
815,A Special Day,100,92
816,A Star Is Born,100,79
817,A Stray,100,75
818,A Tale of Love and Desire,100,
819,A Thousand Cuts,100,79
820,A Throw of Dice,100,47
821,"A Time to Live, a Time to Die",100,82
822,A Tree of Life: The Pittsburgh Synagogue Shooting,100,75
823,A Trip to the Moon,100,90
824,A Tuba to Cuba,100,82
825,A Wedding,100,100
826,A Werewolf Boy,100,85
827,A Whisper to a Roar,100,82
828,A Woman's Face,100,83
829,A.K.A. Doc Pomus,100,
830,A.rtificial I.mmortality,100,
831,AVA: A Twist in the Road,100,94
832,Abortion: Stories Women Tell,100,65
833,About Pie,100,91
834,About a Teacher,100,
835,Abracadabra,100,43
836,"Acasa, My Home",100,83
837,Accattone,100,88
838,Act & Punishment,100,
839,Adjust Your Tracking: The Untold Story of the VHS Collector,100,85
840,Adoption,100,88
841,Adrienne,100,
842,Advocate,100,71
843,Aelita: Queen of Mars,100,58
844,Afghan Cycles,100,83
845,Afghan Star,100,77
846,Africa: The Serengeti,100,70
847,After Auschwitz,100,83
848,After Parkland,100,61
849,After Stonewall,100,76
850,After Truth: Disinformation and the Cost of Fake News,100,60
851,After the Thin Man,100,90
852,Aftershock,100,52
853,Against the Law,100,71
854,Age of Consent,100,50
855,Aida's Secrets,100,79
856,Aileen Wuornos: The Selling of a Serial Killer,100,66
857,Ainu Mosir,100,67
858,Ajeeb Daastaans,100,60
859,Ala Vaikunthapurramuloo,100,76
860,Alanis,100,59
861,Algren,100,
862,Ali Wong: Baby Cobra,100,74
863,Ali Wong: Hard Knock Wife,100,67
864,Ali: Fear Eats the Soul,100,91
865,Alice Is Still Dead,100,
866,Alice in the Cities,100,91
867,Alien Boy: The Life and Death of James Chasse,100,90
868,Alien Raiders,100,34
869,Alien Xmas,100,66
870,Aligarh,100,85
871,Alive and Kicking,100,93
872,All About Them,100,55
873,All Hands on Deck,100,68
874,All In: The Fight for Democracy,100,67
875,All Is Good,100,63
876,All Out,100,68
877,All Quiet on the Western Front,100,69
878,All This Mayhem,100,89
879,All Through the Night,100,70
880,All of Me,100,100
881,All the Wild Horses,100,83
882,All the World Is Sleeping,100,100
883,Alleluia! The Devil's Carnival,100,84
884,Alone With Her Dreams,100,80
